Episode,TotalReward,Epsilon
1180,294.019,0.05
1181,308.504,0.05
1182,302.816,0.05
1183,314.548,0.05
1184,325.722,0.05
1185,307.263,0.05
1186,316.331,0.05
1187,328.606,0.05
1188,325.335,0.05
1189,300.54,0.05
1190,316.681,0.05
1191,313.605,0.05
1192,308.62,0.05
1193,295.462,0.05
1194,320.394,0.05
1195,323.698,0.05
1196,302.817,0.05
1197,317.836,0.05
1198,330.481,0.05
1199,319.612,0.05
1200,325.561,0.05
1201,313.466,0.05
1202,310.552,0.05
1203,322.951,0.05
1204,303.162,0.05
1205,317.516,0.05
1206,326.447,0.05
1207,322.294,0.05
1208,322.667,0.05
1209,304.087,0.05
1210,325.82,0.05
1211,328.785,0.05
1212,324.307,0.05
1213,306.878,0.05
1214,294.557,0.05
1215,316.874,0.05
1216,326.08,0.05
1217,323.928,0.05
1218,328.449,0.05
1219,311.156,0.05
1220,314.603,0.05
1221,327.002,0.05
1222,319.146,0.05
1223,318.124,0.05
1224,327.324,0.05
1225,306.134,0.05
1226,325.143,0.05
1227,298.756,0.05
1228,312.174,0.05
1229,323.671,0.05
1230,334.32,0.05
1231,320.597,0.05
1232,313.907,0.05
1233,312.472,0.05
1234,301.676,0.05
1235,323.62,0.05
1236,316.208,0.05
1237,304.03,0.05
1238,308.849,0.05
1239,327.258,0.05
1240,315.391,0.05
1241,315.479,0.05
1242,325.448,0.05
1243,327.288,0.05
1244,322.035,0.05
1245,312.693,0.05
1246,311.397,0.05
1247,328.651,0.05
1248,314.526,0.05
1249,311.358,0.05
1250,303.507,0.05
1251,317.936,0.05
1252,318.806,0.05
1253,327.714,0.05
1254,330.952,0.05
1255,320.042,0.05
1256,329.541,0.05
1257,305.878,0.05
1258,297.097,0.05
1259,306.162,0.05
1260,316.501,0.05
1261,304.368,0.05
1262,314.116,0.05
1263,318.368,0.05
1264,313.99,0.05
1265,332.899,0.05
1266,314.903,0.05
1267,311.272,0.05
1268,319.747,0.05
1269,306.219,0.05
1270,301.449,0.05
1271,291.16,0.05
1272,323.416,0.05
1273,323.86,0.05
1274,302.878,0.05
1275,323.691,0.05
1276,332,0.05
1277,310.481,0.05
1278,306.555,0.05
1279,332.401,0.05
